text,year,month,day_of_month,day_of_week,hour_of_day
"Highly recommend Revolutions by Mike Duncan, especially Season 10",2022,7,6,3,21
"The world is actually vastly better than Orwell imagined, but there is also vastly more surveillance",2022,7,6,3,19
Troubling …,2022,7,6,3,19
Great!,2022,7,8,5,0
That is indeed the real question,2022,7,7,4,23
I had same great experience from Tokyo to Osaka,2022,7,7,4,22
China &amp; Japan have awesome trains. Took bullet train from Beijing to Xi’an to see Terracotta Army of 秦始皇.,2022,7,7,4,22
Super fired up for future product development with our awesome Tesla team! Such an honor to work with them.,2022,7,7,4,22
Kids are worth it if at all possible. I’m planning to increase childcare benefits at my compan…,2022,7,8,5,15
"Agreed, this needs to be addressed",2022,7,8,5,15
The world has gone mad,2022,7,8,5,14
Terrible news,2022,7,8,5,14
Future wars are all about the drones. Human crews of planes or tanks have no chance. One exception:…,2022,7,8,5,19
Whoever controls the teleprompter is the real President!,2022,7,8,5,17
We know so little today. I want to know the meaning of life or whatever the right quest…,2022,7,8,5,17
But sponges &amp; starfish obv can,2022,7,8,5,17
"Consciousness can understand the nature of the Universe. Clams, not so much.",2022,7,8,5,16
Interesting. Who is behind the bot attack?,2022,7,8,5,15
"For improved quality of sleep, raise head of your bed by about 3” or 5cm and don’t eat 3 hours before bedtime",2022,7,11,1,15
These polar launches will enable complete coverage of Earth (where approved by local government),2022,7,11,1,5
Chuckmate,2022,7,11,1,5
Hello???,2022,7,11,1,4
But Fifth Element was great,2022,7,12,2,5
Base of the vehicle seems ok by flashlight. I was just out t…,2022,7,12,2,5
"Cool, congrats! Now the simulators will have to spend more money on rendering.",2022,7,12,2,5
"Rereading The Life of Greece by Durant. In recent months, read American Ca…",2022,7,12,2,5
I do recommend a lot of books,2022,7,12,2,4
And too many little red or green LED indicators,2022,7,12,2,4
YouTube keeps playing me the same annoying scam ads every time I use it. The algorithm is convince…,2022,7,12,2,4
That is one of the things we will be doing going forward. This particular i…,2022,7,12,2,4
"Trump would be 82 at end of term, which is too old to be chief executive of anything…",2022,7,12,2,2
"Yeah, but too much drama. Do we really want a bull in a china shop situation every sing…",2022,7,12,2,1
"I don’t hate the man, but it’s time for Trump to hang up his hat &amp; sail into the sunset. Dems shoul…",2022,7,12,2,1
Tesla’s automatic cabin overheat protection should make a real difference with record heatwaves. Ability to adjust…,2022,7,12,2,1
Not true,2022,7,12,2,1
"Cryogenic fuel is an added challenge, as it evaporates to create fuel-air explosion ri…",2022,7,11,1,23
"Yeah, actually not good. Team is assessing damage.",2022,7,11,1,23
Mimic + Dark Moon + Stars of Ruin,2022,7,11,1,21
Absolutely,2022,7,11,1,17
"Good chance you’re experiencing at least mild acid reflux at night, affecting quality sleep without consciousness awareness",2022,7,11,1,16
…,2022,7,11,1,15
Ancient times,2022,7,13,3,6
"Was just up in the booster propulsion section. Damage appears to be minor, but we need to inspect all the engines.…",2022,7,13,3,5
Starship launch site tonight,2022,7,13,3,5
Join our underground movement!,2022,7,13,3,4
Excited about potential!,2022,7,13,3,1
Oh the irony lol,2022,7,12,2,22
No problem to recycle the 4680 pack. Just think of any battery pack as super high grade ore – i…,2022,7,12,2,20
"Most importantly, we need to delete or thermally protect rem…",2022,7,14,4,7
"10.13 goes to internal beta tomorrow, external next week. Should handle Chuck’s complex left turn. Bet…",2022,7,14,4,0
Thanks for everything you have done for Tesla! It has been an honor working with you.,2022,7,13,3,21
Absolutely. And lithium batteries are the new oil.,2022,7,13,3,17
"If testing goes well, as soon as next month",2022,7,13,3,16
Cool,2022,7,13,3,16
Gives whole new meaning to Go Pros!,2022,7,13,3,16
Imagine if MSNBC did that,2022,7,13,3,15
A+ for cinematography,2022,7,13,3,15
"Mars is, admittedly, a fixer upper of a planet",2022,7,15,5,12
The scale is 🤯 &amp; anyone can visit!,2022,7,15,5,11
I wonder if there is a species in the Magellanic Clouds wondering who lives in the big galaxy they orbit,2022,7,15,5,2
Some small tubes &amp; wiring need to be nested in a b…,2022,7,15,5,2
Electric power for booster &amp; ship is needed even when…,2022,7,15,5,2
Enabling engines to take the heat without shrouds might save…,2022,7,15,5,1
All mass necessitated by an engine design should count as en…,2022,7,15,5,1
Dragon launching in 2 mins,2022,7,15,5,0
Global _______,2022,7,16,6,1
Cumulative tonnage to orbit this year is the right metric,2022,7,16,6,0
Write to the ! That would be great.,2022,7,16,6,0
Charlie Ergen is trying steal the 12GHz band meant for space Internet. Not cool.,2022,7,16,6,0
Progress,2022,7,15,5,23
We’re making progress with Steam integration. Demo probably next month.,2022,7,15,5,23
It’s a flat trade,2022,7,15,5,21
"Actually true. Then I suggested to the team that it didn’t need to be quite so pointy, since that’s just b…",2022,7,15,5,20
😋 bagels,2022,7,15,5,20
"If inflation calms down, we can lower prices for cars",2022,7,15,5,13
"Tesla is to protect life on Earth, SpaceX to extend life beyond.",2022,7,15,5,12
20 to 30 years from first human landing if launch rate growth is exponential. Assumes transferring ~100k…,2022,7,15,5,12
"Mars may be a fixer upper of a planet, but it has great potential!",2022,7,15,5,12
Also worth getting a particle counter,2022,7,18,1,17
"It’s on the future product list. Especially important in places like Austin, which has next-…",2022,7,18,1,17
Things will get wild when Andromeda collides with our galaxy!,2022,7,18,1,17
They should keep running,2022,7,18,1,17
True. I have a CO2 monitor on my desk. It beeps whenever ppm&gt;1000.,2022,7,18,1,17
About twice as much useful mass to orbit as rest of Earth combined,2022,7,18,1,17
Absolutely,2022,7,18,1,15
"More accurate word is “propellant”, rather than “fuel”. Starship is ~78% liquid oxygen,…",2022,7,18,1,15
I use this example a lot,2022,7,18,1,14
"Starlink bandwidth varies a lot, depending on user terminal density &amp; time of day. That’s why th…",2022,7,18,1,14
Starlink is a gamechanger for remote locations,2022,7,18,1,14
One of the best features of Model X,2022,7,19,2,17
Teslas are the most made-in-USA vehicles,2022,7,19,2,17
Total scam,2022,7,19,2,17
My calves are bigger tho,2022,7,19,2,16
To think that Fremont was just a derelict building &amp; Giga Nevada was just rocks &amp; bushes when started! California…,2022,7,19,2,15
Congrats to Tesla Fremont + Giga Nevada for making their 2 millionth car!,2022,7,19,2,15
Please vote your shares with Tesla!,2022,7,19,2,7
Yeah,2022,7,19,2,5
It’s a start. About 1000 times more mass to orbit per year will be needed to make life multiplanetary.,2022,7,19,2,2
Already did it,2022,7,19,2,0
"Haha damn, maybe I should take off my shirt more often … free the nip!! (already back in the factory btw)",2022,7,18,1,21
Still needs a few tweaks,2022,7,18,1,21
A classic 🤣,2022,7,18,1,19
"I remember the 70’s, which means I’m definitely not spring chicken",2022,7,18,1,18
"Arguably, we know more than nothing. “Death &amp; taxes are a certainty” – BF.",2022,7,18,1,18
Earth is basically empty of humans,2022,7,20,3,3
Exactly,2022,7,19,2,18
"Tbh, it’s good motivation to work out, eat healthier &amp; maybe take my shirt off outside more than once a year haha",2022,7,21,4,14
16 years ago,2022,7,21,4,7
Upgrades!,2022,7,21,4,3
Sounds bad,2022,7,21,4,3
"Is this the real life? Is this just fantasy? Caught in a landside, No escape from reality",2022,7,21,4,3
Optimus Primed,2022,7,22,5,13
"I’m rubber, they’re glue",2022,7,22,5,13
Interesting. Smart move by China. Expendable rockets have no future.,2022,7,22,5,13
"Congrats on an incredible company with Airbnb, now for Book 2!",2022,7,21,4,23
True,2022,7,21,4,20
"Service turns on next month, which is same time required to deliver a user terminal, so order now at",2022,7,23,6,12
Excited to work with Tesla Service to enable same-hour service as often as possible! Applying Formula 1 pit crew techniques to Teslas.,2022,7,23,6,12
Major volcanic eruptions are underappreciated as civilizational risks,2022,7,23,6,12
Tough times,2022,7,23,6,12
Starlink now available in 36 countries!,2022,7,22,5,19
Congrats to SpaceX team on record number of launches!,2022,7,22,5,19
Self-driving electric cars will be all that matters. Gas car without autonomy will be like riding a ho…,2022,7,24,7,5
Software is the key to the future,2022,7,24,7,4
Falcon rising through fog,2022,7,24,7,4
Falcon over the moon,2022,7,24,7,4
From SJM,2022,7,24,7,4
Great thread,2022,7,24,7,3
Deep history memes rock,2022,7,24,7,2
Should be a major improvement with respect to complex left turns,2022,7,24,7,1
Maybe end of this week. Team is working hard on it.,2022,7,24,7,1
🤔 indeed,2022,7,24,7,1
"The amount of attention on me has gone supernova, which super sucks. Unfortunately, even trivial articles about me…",2022,7,25,1,22
Mostly just that the media is a click maximizing machine and…,2022,7,25,1,20
All Teslas come with a free karaoke app,2022,7,25,1,20
Das Baby would be a hit!,2022,7,25,1,18
The media is a click-seeking machine dressed up as a truth-seeking machine,2022,7,25,1,18
"______, ______ your 👖 are on 🔥",2022,7,25,1,18
Sure seems that way,2022,7,25,1,18
The real problem here is that has zero journalistic integrity,2022,7,25,1,17
A picture is worth 1000 tweets,2022,7,25,1,17
"Yeah, that was Sergey and me yesterday afternoon!",2022,7,25,1,17
"Single-piece casting reduces weight, greatly simplifies factory, increases ride quality &amp; reduces road noise",2022,7,25,1,13
Good article,2022,7,25,1,13
What video games have you enjoyed most over past year or two?,2022,7,25,1,6
More evidence for the simulation,2022,7,25,1,4
Movie idea: Boss Baby meets Das Boot Das Baby – “Hijinks on the High Seas!”,2022,7,25,1,4
Lmaooo absolutely 🤣🤣,2022,7,25,1,2
Nope,2022,7,25,1,2
"Call them out on it, I guess. WSJ is supposed to have a high standard…",2022,7,25,1,2
WSJ has run so many bs hit pieces on me and Tesla I’ve lost count! It’s embarrassing…,2022,7,25,1,2
Haven’t even had sex in ages (sigh),2022,7,25,1,2
"Yeah, the character assassination attacks have reached a new level this year, but the art…",2022,7,25,1,2
This is total bs. Sergey and I are friends and were at a party together last night! I’ve only seen…,2022,7,25,1,1
Ironic that Disney would disparage an entire class of rodents when their main character is a rodent – jealous maybe?,2022,7,25,1,1
The dark origin of the lemming mass suicide myth …,2022,7,24,7,22
Thanks Jeff 💕,2022,7,26,2,16
Sickonolfi’s pack of attack chihuahuas are burning up phone lines today…,2022,7,26,2,15
Exactly,2022,7,26,2,10
"Good point, will do",2022,7,26,2,4
Sub lightspeed is all that’s needed to be interstellar. Intergalactic is tough.,2022,7,27,3,16
The media is a click-seeking machine dressed up as a truth-seeking machine,2022,7,27,3,16
This is compatible with existing religions – surely God would want us to see Creation?,2022,7,27,3,15
A new philosophy of the future is needed. I believe it should be curiosity about the Universe – expand humanity to…,2022,7,27,3,15
A new philosophy of the future is needed,2022,7,27,3,15
"Moreover, I talked to Sergey yesterday and he says neither he nor anyone he knows has talked to WSJ",2022,7,27,3,14
"As a “public person”, standard to win a defamation lawsuit against a news org is almost impossible.…",2022,7,27,3,14
Seriously,2022,7,27,3,2
Business Insider (Trading) is not a real publication,2022,7,27,3,2
"Yeah, but that was 8000 years ago",2022,7,27,3,2
That would be nice,2022,7,27,3,2
🤣🤣 Exactly,2022,7,27,3,1
"Weirdly, some publications still print millions of paper copies every day!",2022,7,27,3,1
99% of journalism is reading someone else’s story on the…,2022,7,27,3,1
Sickonolfi has zero journalistic integrity,2022,7,27,3,1
Much harder to make friends than enemies. My skill at the latter is improving.,2022,7,28,4,3
"We’re working super hard on 10.13, but it isn’t ready yet",2022,7,29,5,15
Wikipedia is losing its objectivity,2022,7,29,5,14
"I can’t say for sure that Starship will reach escape velocity, but my hubris certainly has",2022,7,29,5,14
We should thank farmers more,2022,7,29,5,0
Products that bring joy are rare,2022,7,29,5,0
Too early to say for sure,2022,7,29,5,0
Would be unwise to risk that it is not,2022,7,29,5,0
More Tesla commodity prices are trending down than up fwiw,2022,7,29,5,0
Inflation might be trending down,2022,7,29,5,0
Thanks for your support over the years,2022,7,29,5,0
Sigh,2022,7,31,7,2
Off to the Races set to Harley Quinn,2022,7,31,7,2
We live in interesting times,2022,7,30,6,14
"Some people are no nonsense, but, personally, I like a little nonsense",2022,7,30,6,14
Interaction with almost all twitter accounts seem to be much lower in recent weeks &amp; days. Accurate?,2022,7,30,6,13
Saxon,2022,7,30,6,7
Based,2022,7,30,6,3
Friend made this for me 2 years ago,2022,7,30,6,2
Try voice command “open butthole” on your Tesla,2022,7,30,6,1
Great style,2022,7,30,6,0
Good point. Time to move on from hybrid cars. That was a phase.,2022,7,30,6,0
"10.13 is probably a week or so away, but yes. People outside of California will notice improvements the most.",2022,7,29,5,23
"If our reality is actually an alien soap opera, our ratings would be 🚀💥💫",2022,7,31,7,22
Maybe free some people in jail for weed here too?,2022,7,31,7,14
Good thread,2022,7,31,7,14
Still time to vote!,2022,8,1,1,22
X ❤️ Doges,2022,8,1,1,17
So much water under the bridge since then,2022,8,1,1,17
Yeah,2022,8,1,1,7
Maybe Twitter can become that,2022,8,1,1,6
"It sure is hard to find a news source that’s accurate, relevant &amp; not total…",2022,8,1,1,6
Floki pic tomorrow,2022,8,1,1,6
The media has strong negative bias &amp; are driven by clicks (they can’t help it). Unfortuna…,2022,8,1,1,6
Thanksgiving last year after watching one too many episodes of Vikings,2022,8,1,1,6
Just came across this pretty good CNBC piece on SpaceX &amp; Starship,2022,8,2,2,22
"That estimate seems high, but the point is valid",2022,8,2,2,19
Worth reading. This is a close match for my philosophy.,2022,8,2,2,5
Cool,2022,8,2,2,23
The ratio of digital to biological compute is growing fast. Worth tracking.,2022,8,2,2,23
A *successful* orbital flight is probably between 1 and 12 months from now,2022,8,2,2,22
I had more kids in Q2 than they made cars!,2022,8,4,4,18
Stone of Destiny,2022,8,4,4,16
Was a fun hang,2022,8,4,4,16
Whiskey,2022,8,4,4,16
"Yeah, pretty good. I like the name.",2022,8,4,4,16
"Not true. Tesla is 5 mins from Austin International airport. Would be silly to build another private airport,…",2022,8,4,4,15
Hustling to get Starship Booster 7 back to pad to test outer ring of 20 engines,2022,8,5,5,18
Full Send Podcast,2022,8,5,5,15
Thank goodness for Senator Manchin,2022,8,5,5,6
Less than 5% of Twitter daily users are fake/spam,2022,8,6,6,16
I hereby challenge to a public debate about the Twitter bot percentage. Let him prove to the publ…,2022,8,6,6,16
So it seems,2022,8,6,6,8
"Good question, why aren’t they?",2022,8,6,6,8
Somehow I have 54 followers,2022,8,6,6,8
Good summary of the problem. If Twitter simply provides their method of sampling 100 accounts and how the…,2022,8,6,6,7
I love the smell of hydraulic fluid in the morning,2022,8,6,6,6
At launch pad,2022,8,6,6,5
Moving rocket to launch pad,2022,8,6,6,1
Twitter has spoken …,2022,8,7,7,18
FSD Beta 10.69 drops on 8/20,2022,8,7,7,7
"Yeah, not cool",2022,8,6,6,20
Saxon James Musk,2022,8,6,6,20
"Growing at 50%/year requires an insane amount of work, but is achievable with outstanding execution",2022,8,8,1,18
Maybe investment in automation?,2022,8,8,1,16
Seems high,2022,8,8,1,15
This release will be big,2022,8,7,7,22
True,2022,8,10,3,3
Quite the day,2022,8,10,3,2
Yes. In the (hopefully unlikely) event that Twitter forces this deal to close *and* some equity pa…,2022,8,10,3,2
Tesla Fremont team is kicking a**!,2022,8,9,2,20
SpaceX Falcon team is 🔥🔥🔥,2022,8,9,2,20
Happens to almost everyone,2022,8,9,2,14
8 years ago,2022,8,10,3,5
Coming soon. Part 3 is about scaling sustainable energy at a civilizational level to enable a bright future for Earth.,2022,8,10,3,5
"Tesla 500 mile range Semi Truck starts shipping this year, Cybertruck next year",2022,8,10,3,5
Wrote this 6 years ago,2022,8,10,3,5
About to attempt long duration engine firing to test autogenous pressurization,2022,8,11,4,19
Starship B7 static fire,2022,8,11,4,16
True. I already get audited every year by default.,2022,8,11,4,16
I think the approved language these days is “height-challenged sellers”,2022,8,11,4,16
deep thot,2022,8,11,4,5
"Thanks, but I already have one",2022,8,11,4,5
Because Tesla doesn’t advertise and other car companies do,2022,8,11,4,4
From Real Scam O’Dowd,2022,8,11,4,3
"“The Guardian” swallows scam video hook, line &amp; sinker!",2022,8,11,4,3
There are no coincidences,2022,8,12,5,20
it’s a sticky situation,2022,8,12,5,19
They had a good run! Humanity has a long way to go to equal their time on Earth.,2022,8,12,5,18
This will be Mars one day,2022,8,12,5,5
but have u seen my sex tape,2022,8,12,5,4
Ahem,2022,8,13,6,4
Would be pretty wild if a “car company” made the most powerful supercomputer on Earth …,2022,8,13,6,4
We’ll phase in Dojo. Won’t need to buy as many incremental GPUs next year.,2022,8,13,6,4
Waitlist is too long. Will enable again as we ramp production.,2022,8,13,6,4
Adding the 13 inner engines,2022,8,13,6,4
Yikes,2022,8,13,6,3
Another orbital plane of polar satellites,2022,8,13,6,3
Strange that this receives very little attention in the media,2022,8,14,7,20
400k from one border crossing in less than a year?,2022,8,14,7,18
Congrats Giga Shanghai on making millionth car! Total Teslas made now over 3M.,2022,8,14,7,17
Production is a much bigger challenge than demand,2022,8,14,7,4
I hope there is a self-sustaining city on Mars in 20 years!,2022,8,14,7,2
Just Read The Instructions,2022,8,14,7,2
Yes. Tesla Autopilot/AI team is doing amazing work! 10.69 will be worth its name.,2022,8,15,1,23
"Mercury, the forbidden candy",2022,8,17,3,7
Almost all of Earth’s energy comes from the sun already – we would be a dark iceball at near absolute…,2022,8,17,3,7
"Although, if it were any team, it would be Man U. They were my fav team as a kid.",2022,8,17,3,5
Standup is my side-hustle,2022,8,17,3,4
"And I’m not buying Coca-Cola to put the cocaine back in, despite the extreme popularity of such a move",2022,8,17,3,4
"No, this is a long-running joke on Twitter. I’m not buying any sports teams.",2022,8,17,3,4
Got to build those YouTube subscriptions!,2022,8,17,3,0
"Note, we are trying to reduce delivery times as quickly as possible. Long wait times are not a good thing.",2022,8,17,3,0
"Yeah, that’s what I mean",2022,8,17,3,0
"Also, I’m buying Manchester United ur welcome",2022,8,17,3,0
The downside of elf ear surgery probably outweighs the upside,2022,8,17,3,0
"To be clear, I support the left half of the Republican Party and the right half of the Democratic Party!",2022,8,16,2,23
Reasonably accurate translation,2022,8,16,2,23
🤣 ok we’ll turn it on,2022,8,16,2,17
"For some reason, I just agree with that guy so much!",2022,8,17,3,14
🎶 This Magic Moment 🎶,2022,8,17,3,9
*shall,2022,8,17,3,8
I will seek out one of these “Mars Bars” tomorrow!,2022,8,17,3,8
Being a Mom is just as important as any career,2022,8,17,3,8
Highly Recommend,2022,8,17,3,8
Those are the questions that Twitter is doing everything possible to avoid answering …,2022,8,18,4,20
"Modifying your car after delivery is legal in America, so yes 😀",2022,8,18,4,20
"That said, we will add autoconfigure to side mirrors",2022,8,18,4,16
Side mirrors cause ~5% range reduction at highway speed,2022,8,18,4,15
"Yes, but side mirrors won’t be needed in a self-driving future",2022,8,18,4,15
Might need a new PO Box after tweeting this 🤣,2022,8,19,5,20
"Nice letter from Bill Nix, who would’ve been my prof at Stanford if I hadn’t put grad studies on (permanent) deferm…",2022,8,19,5,20
"Each fairing half is a fully capable reentry vehicle with its own thrusters, thermal protection, avionics &amp; sensor suite",2022,8,19,5,19
Free Willy was never free 😢,2022,8,19,5,14
Still so grateful 🥹,2022,8,19,5,6
"There are many major code changes, so this will be an extra cautious rollout. Releasing o…",2022,8,19,5,5
Entropy,2022,8,19,5,5
Worth hearing about Tesla Autopilot software/AI progress,2022,8,21,7,1
"As mentioned previously, this is a major release, so we need to be cautious. Goes out to ~1000 Beta participants later today.",2022,8,20,6,17
Neuralink progress update show &amp; tell on October 31 st (Halloween),2022,8,22,1,6
"2 main goals this year: - Starship to orbit - FSD wide release Many other things, of course, but those are the 2…",2022,8,22,1,6
It is the fastest way to get between one downtown and another with known physics (and the Standard Model is proving quiet resilient)!,2022,8,22,1,6
Would be cool to do a (much simplified) Hyperloop demo tunnel between maybe Austin &amp; San Antonio?,2022,8,22,1,6
Now tunnels are in active use in Vegas. Try it if you’re in town. Will be expanding to connect all m…,2022,8,22,1,6
Funny how there are often simultaneous reactions saying “it’s impossible” and “it was already done 3000 years ago”,2022,8,22,1,6
Glad it’s working out! Thanks for giving us this tough case to solve. That’s what field testin…,2022,8,21,7,19
Just wanted to emphasize again that our awesome Tesla software/AI team is who really deserves…,2022,8,21,7,19
"Note, you can upgrade your existing car to FSD in 2 mins via the Tesla app",2022,8,21,7,14
"After wide release of FSD Beta 10.69.2, price of FSD will rise to $15k in North America on September 5th. Current…",2022,8,21,7,14
FSD Beta 10.69 started rolling out to Tesla owners last night. This build is a big step forward! 10.69.1 probably…,2022,8,21,7,14
"Tesla Autopilot/AI team did great work with 10.69! Some point releases needed for polish, so 10.69.2 should really shine.",2022,8,21,7,12
The course of civilization is not always upward,2022,8,24,3,7
True,2022,8,24,3,5
Mechazilla loads Starship on launchpad,2022,8,24,3,5
10.69 is in limited release for a reason. Please do not ask to be included in early beta releases and then complain.,2022,8,23,2,19
"So spam prevalence *was* shared with the board, but the board chose not disclose that to the public …",2022,8,23,2,17
Important thread,2022,8,23,2,17
In case anyone feels like buying a fine whistle …,2022,8,23,2,16
Yet another “verified”🤖,2022,8,23,2,15
You’re waking up in the morning!?,2022,8,23,2,15
"I would gladly obey their commands, but I can’t tell what they’re saying!",2022,8,24,3,20
"I do not doubt that. Criticism, public or private, is welcome after we go to wide beta…",2022,8,24,3,19
No. Let me make something clear: James contacted me directly to be included in *early*…,2022,8,24,3,18
This is something special,2022,8,24,3,16
(And I do think global warming is a major risk),2022,8,26,5,4
Mark these words,2022,8,26,5,4
Population collapse due to low birth rates is a much bigger risk to civilization than global warming,2022,8,26,5,4
Good summary,2022,8,26,5,4
"Note, connectivity will be 2 to 4 Mbits per cell zone, so will work great for texting &amp; voice calls, but not high bandwidth",2022,8,26,5,0
"Starlink V2, launching next year, will transmit direct to mobile phones, eliminating dead zones worldwide",2022,8,26,5,0
Livestream of big news in about an hour,2022,8,25,4,22
10.69.1 releases Monday night. 10.69.2 about a week or so later – this will be the wide beta version.,2022,8,25,4,19
Ron Barron is awesome,2022,8,25,4,19
🦇 💩 crazy,2022,8,25,4,16
The caffeine one is most troubling,2022,8,27,6,1
Some are indeed sadly anti-human,2022,8,26,5,23
Countries should be increasing nuclear power generation! It is insane from a national security standpoint &amp; bad for…,2022,8,26,5,22
It is safe to say that our output will not exceed the mass of the known universe,2022,8,26,5,22
Similarly high cycle life with nickel cathode is possible if optimizing for that. Adding silicon to…,2022,8,26,5,20
True,2022,8,26,5,17
"That, plus pessimism about the future / false overpopulation fears",2022,8,26,5,13
Please share some things in this thread which are working for you in life &amp; that others may find helpful!,2022,8,28,7,18
"Yeah, I lift a little …",2022,8,28,7,17
Over 20 lbs down from my (unhealthy) peak weight,2022,8,28,7,17
"From time to time, I will share some things that seem to be working for me, in case you find it helpful",2022,8,28,7,17
The Zero fasting app is quite good,2022,8,28,7,17
"On advice of a good friend, I’ve been fasting periodically &amp; feel healthier",2022,8,28,7,17
"Yes, but I’ve done a lot with the place!",2022,8,28,7,17
gnus news snooze,2022,8,28,7,13
Coming,2022,8,28,7,13
Ares,2022,8,28,7,13
What do you call a Great Dane eating a small piece of ham in a tiny village? Hamlet eating hamlet i…,2022,8,28,7,13
Squeezing extra performance out of Falcon 9 – almost at 17 metric tons to an actual useful orbit with booster &amp; fai…,2022,8,28,7,5
Maybe it’s times for new roman,2022,8,28,7,4
Getting to orbit &amp; back is harder than it may seem,2022,8,28,7,4
It’s true,2022,8,30,2,8
Ancient times,2022,8,30,2,8
It will grow by at least 5 to 10 meters over time,2022,8,29,1,17
"First few days, just 1k owners, but going to 10k if no major issues. Note, 10.69.2, hopefully goin…",2022,8,29,1,2
Good to ask yourself this often,2022,8,29,1,2
"Agreed, we recently made this change &amp; many others. An intense effort is underway to achieve robust…",2022,8,29,1,2
This will happen again – just a matter of time,2022,8,28,7,23
Godspeed Artemis!,2022,8,28,7,23
The swoop of the X is meant to represent the rocket’s arc to orbit,2022,8,28,7,22
"Hopefully, this week",2022,8,28,7,22
I somewhat agonized over the Tesla &amp; SpaceX font design (love fonts tbh). There are s…,2022,8,28,7,22
Wise actions,2022,8,28,7,22
Diet Coke is amazing,2022,8,28,7,18
You can almost hear that snap of the rubber glove before chess match cavity searches …,2022,9,8,4,4
My version of Occam’s Razor: most entertaining outcome is most likely …,2022,9,8,4,3
"“Talent hits a target no one else can hit, genius hits a target no one can see (cause it’s in ur butt)” – Schopenha…",2022,9,8,4,3
10.69.2 goes out to 100k owners next week,2022,8,30,2,22
Spent the day walking entire Giga Berlin production line – team is doing excellent work!,2022,8,30,2,22
"10.69.1 is even better. We reduced latency &amp; jitter in hardware command loop, so…",2022,8,30,2,22
Kickass Internet connection coming Royal Caribbean ships soon!,2022,8,30,2,22
"On a $/bot basis, this deal is awesome",2022,9,1,4,4
Sure sounds higher than 5%!,2022,9,1,4,4
I intend to do so as soon as possible,2022,8,31,3,15
"Yeah, aiming for up to 100 flights next year",2022,8,31,3,15
Now launching every ~5 days,2022,8,31,3,15
Hope Connor is ok!,2022,9,1,4,20
Moody’s is irrelevant,2022,9,3,6,2
. invited me to open for one of his shows. Thanks Chris! I will try not to flounder too much.,2022,9,4,7,1
"Yes, also very important",2022,9,4,7,1
"Accurate assessment. Raptor design started out using H2, but switched to CH4. Latter is best combo of…",2022,9,4,7,1
Important. South Korea is currently tracking to lose about half its population roughly every generation. Lo…,2022,9,5,1,16
Peter Jackson did excellent work with Lord of the Rings. The Hobbit was stretched too long for a short book.,2022,9,6,2,13
"For now, supply is too low, but ordering a Powerwall by itself should be possible end of year",2022,9,6,2,0
Cool,2022,9,5,1,23
Order a Tesla Powerwall battery for blackout protection!,2022,9,5,1,23
And 90% of my comments are bots 🤖,2022,9,5,1,18
"Almost every male character so far is a coward, a jerk or both. Only Galadriel is brave, smart and nice.",2022,9,5,1,18
Release of 10.69.2 probably end of week. Needs a bit more polish.,2022,9,5,1,18
Tolkien is turning in his grave,2022,9,5,1,18
